file name	1st language	2nd language(s)	length of residence (in years)	length of study	level
rit001	[serbian]	[english, norwegian]	[4]	[4]	[C1]
rit002	[serbian]	[english, norwegian]	[4]	[4]	[C1]
rit003	[serbian]	[english, norwegian]	[4]	[4]	[C1]
rit004	[serbian]	[english, norwegian]	[4]	[4]	[C1]
rit005	[serbian]	[english, norwegian]	[4]	[4]	[C1]
rit006	[serbian]	[english, norwegian]	[3]	[3]	[B2]
rit007	[french]	[english]	[4]	[1]	[A2]
rit008	[english]	[german, norwegian]	[6]	[6]	[C2]
rit009	[english]	[german, norwegian]	[6]	[6]	[C2]
rit010	[english]	[german, norwegian]	[6]	[6]	[C2]
rit011	[english]	[]	[3]	[4]	[B2]
rit012	[french]	[english]	[4]	[1]	[A2]
rit013	[french]	[english, norwegian]	[4]	[3]	[B2]
rit014	[serbian]	[english, norwegian]	[5]	[4]	[C1]
rit015	[italian]	[english]	[4]	[5]	[C1]
rit016	[english]	[]	[2]	[3]	[B2]
rit017	[english]	[]	[3]	[4]	[B2]
rit018	[italian]	[english]	[5]	[6]	[C2]
rit019	[chinese]	[english]	[4]	[5.5]	[C2]
rit020	[chinese]	[english]	[4]	[5.5]	[C2]
rit021	[chinese]	[english]	[4]	[6]	[C2]
rit023	[chinese]	[english]	[4.5]	[6]	[C2]
rit024	[german]	[english, finnish, latin]	[1.8]	[4]	[C1]
rit025	[finnish]	[english, swedish, danish, faroese, norwegian]	[1.5]	[2]	[B1]
rit026	[french]	[english]	[6]	[5]	[B2]
rit027	[serbian]	[english, norwegian]	[2]	[2]	[B1]
rit028	[chinese]	[english]	[2.5]	[3]	[B2]
rit029	[chinese]	[english]	[2.5]	[3]	[B2]
rit030	[german]	[english]	[10]	[8]	[C2]
rit031	[german]	[english]	[10]	[8]	[C2]
rit032	[german]	[english]	[10]	[8]	[C2]
rit033	[czech]	[english, swedish, german]	[0.3]	[0.5]	[A2]
rit034	[filipino]	[]	[2]	[2]	[B1]
rit035	[czech]	[swedish, english, german]	[3]	[3]	[C1]
rit036	[english]	[hungarian]	[4.5]	[8]	[C2]
verk001	[serbian]	[english, norwegian]	[3]	[3]	[B2]
verk002	[german]	[english, finnish, latin]	[0.5]	[2.5]	[B1]
verk003	[french]	[english]	[4]	[1]	[A2]
verk004	[polish]	[swedish, english, german]	[2.5]	[1.5]	[A2]
verk005	[german]	[english]	[0]	[3]	[A2]
verk006	[russian]	[english]	[1.5]	[1]	[A2]
verk007	[filipino]	[english]	[0.6]	[0.3]	[A1]
verk008	[filipino]	[english]	[1.3]	[1]	[A2]
verk009	[portuguese]	[english, spanish, german, french]	[1.5]	[1]	[A2]
verk010	[english]	[french]	[0.1]	[2]	[A2]
verk011	[polish]	[english]	[2]	[1]	[A2]
verk012	[french]	[english]	[4.5]	[1.5]	[A2]
verk013	[french]	[english]	[2]	[1]	[B1]
verk014	[french]	[english]	[2.5]	[1.5]	[B1]
verk015	[chinese]	[english]	[1.5]	[2]	[B1]
verk016	[korean, chinese]	[german, french, italian, danish, portuguese, dutch]	[0]	[1.5]	[A2]
verk017	[english]	[]	[0]	[2.3]	[A2]
verk018	[czech]	[english, swedish, german]	[0]	[0.4]	[A1]
verk019	[czech]	[english, swedish, german]	[0.1]	[0.5]	[A1]
verk020	[czech]	[english, swedish, german]	[0.2]	[0.5]	[A2]
verk021	[czech]	[english, swedish, german]	[0.3]	[0.5]	[A2]
verk022	[english, italian]	[]	[0.3]	[3]	[A2]
verk023	[english, italian]	[]	[0.6]	[3.5]	[A2]
verk024	[czech]	[swedish, english, german]	[2]	[2]	[B2]
verk025	[czech]	[swedish, english, german]	[1]	[1]	[B1]
verk026	[czech]	[swedish, english, german]	[2]	[2]	[B2]
verk027	[persian]	[english]	[0.5]	[0.5]	[A1]
verk028	[russian]	[ukranian, english]	[4]	[1]	[A2]
verk029	[filipino]	[english]	[0.5]	[0.5]	[A1]
verk030	[filipino]	[english]	[0.5]	[0.5]	[A1]
verk031	[filipino]	[english]	[0.5]	[0.5]	[A1]
verk032	[filipino]	[english]	[0.5]	[0.5]	[A1]
verk033	[filipino]	[english]	[0.5]	[0.5]	[A1]
verk034	[filipino]	[english]	[0.5]	[0.5]	[A1]
verk035	[filipino]	[english]	[0.5]	[0.5]	[A1]
verk036	[filipino]	[english]	[0.3]	[0.3]	[A1]
verk037	[russian]	[ukranian, english]	[4]	[1]	[A1]
verk038	[russian]	[ukranian, english]	[4]	[1]	[A1]